,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
21,2020,Mid-level / Intermediate,Full-time,Product Data Analyst,6072,IN,Fully remote,IN,L
22,2020,Senior-level / Expert,Full-time,Data Engineer,47899,GR,Partially Remote,GR,L
23,2020,Mid-level / Intermediate,Full-time,BI Data Analyst,98000,US,No remote,US,M
24,2020,Mid-level / Intermediate,Full-time,Lead Data Scientist,115000,AE,No remote,AE,L
25,2020,Executive-level / Director,Full-time,Director of Data Science,325000,US,Fully remote,US,L
26,2020,Entry-level / Junior,Full-time,Research Scientist,42000,NL,Partially Remote,NL,L
27,2020,Senior-level / Expert,Full-time,Data Engineer,33511,MX,No remote,MX,S
28,2020,Entry-level / Junior,Contract,Business Data Analyst,100000,US,Fully remote,US,L
29,2020,Senior-level / Expert,Full-time,Machine Learning Manager,117104,CA,Partially Remote,CA,L
30,2020,Mid-level / Intermediate,Full-time,Data Engineering Manager,59303,DE,Fully remote,DE,S
31,2020,Entry-level / Junior,Full-time,Big Data Engineer,70000,US,Fully remote,US,L
32,2020,Senior-level / Expert,Full-time,Data Scientist,68428,GR,Fully remote,US,L
33,2020,Mid-level / Intermediate,Full-time,Research Scientist,450000,US,No remote,US,M
34,2020,Mid-level / Intermediate,Full-time,Data Analyst,46759,FR,Partially Remote,FR,L
35,2020,Mid-level / Intermediate,Full-time,Data Engineer,74130,AT,Partially Remote,AT,L
36,2020,Mid-level / Intermediate,Full-time,Data Science Consultant,103000,US,Fully remote,US,L
37,2020,Entry-level / Junior,Full-time,Machine Learning Engineer,250000,US,Partially Remote,US,L
38,2020,Entry-level / Junior,Full-time,Data Analyst,10000,NG,Fully remote,NG,S
39,2020,Entry-level / Junior,Full-time,Machine Learning Engineer,138000,US,Fully remote,US,S
40,2020,Mid-level / Intermediate,Full-time,Data Scientist,45760,PH,Fully remote,US,S
41,2020,Executive-level / Director,Full-time,Data Engineering Manager,79833,ES,Partially Remote,ES,L
42,2020,Mid-level / Intermediate,Full-time,Machine Learning Infrastructure Engineer,50180,PT,No remote,PT,M
43,2020,Mid-level / Intermediate,Full-time,Data Engineer,106000,US,Fully remote,US,L
44,2020,Mid-level / Intermediate,Full-time,Data Engineer,112872,GB,Partially Remote,GB,L
45,2020,Entry-level / Junior,Part-time,ML Engineer,15966,DE,Fully remote,DE,S
46,2020,Mid-level / Intermediate,Full-time,Data Scientist,76958,GB,Fully remote,GB,S
47,2020,Senior-level / Expert,Full-time,Data Engineer,188000,US,Fully remote,US,L
48,2020,Mid-level / Intermediate,Full-time,Data Scientist,105000,US,Fully remote,US,L
49,2020,Mid-level / Intermediate,Full-time,Data Engineer,70139,FR,Partially Remote,FR,L
50,2020,Entry-level / Junior,Full-time,Data Analyst,6072,IN,No remote,IN,S
51,2020,Entry-level / Junior,Full-time,Data Analyst,91000,US,Fully remote,US,L
52,2020,Entry-level / Junior,Full-time,AI Scientist,45896,DK,Partially Remote,DK,S
53,2020,Entry-level / Junior,Full-time,Data Engineer,54742,PK,Fully remote,DE,L
54,2020,Senior-level / Expert,Freelance,Computer Vision Engineer,60000,RU,Fully remote,US,S
55,2020,Senior-level / Expert,Full-time,Principal Data Scientist,148261,DE,Fully remote,DE,M
56,2020,Mid-level / Intermediate,Full-time,Data Scientist,38776,ES,Fully remote,ES,M
57,2020,Mid-level / Intermediate,Full-time,Data Scientist,118000,US,Fully remote,US,M
58,2020,Senior-level / Expert,Full-time,Data Scientist,120000,US,Partially Remote,US,L
59,2020,Mid-level / Intermediate,Full-time,Data Scientist,138350,US,Fully remote,US,M
60,2020,Mid-level / Intermediate,Full-time,Data Engineer,110000,US,Fully remote,US,L
61,2020,Mid-level / Intermediate,Full-time,Data Engineer,130800,ES,Fully remote,US,M
62,2020,Entry-level / Junior,Part-time,Data Scientist,21669,IT,Partially Remote,IT,S
63,2020,Senior-level / Expert,Full-time,Data Scientist,412000,US,Fully remote,US,L
64,2020,Senior-level / Expert,Full-time,Machine Learning Engineer,45618,HR,Fully remote,HR,S
65,2020,Entry-level / Junior,Full-time,Data Scientist,62726,DE,Partially Remote,DE,S
66,2020,Entry-level / Junior,Full-time,Data Scientist,49268,DE,No remote,DE,S
67,2020,Senior-level / Expert,Full-time,Data Science Manager,190200,US,Fully remote,US,M
68,2020,Entry-level / Junior,Full-time,Data Scientist,105000,US,Fully remote,US,S
69,2020,Senior-level / Expert,Full-time,Data Scientist,91237,AT,No remote,AT,S
70,2020,Mid-level / Intermediate,Full-time,Data Scientist,62726,FR,Partially Remote,LU,S
71,2020,Mid-level / Intermediate,Full-time,Data Scientist,42197,FR,Partially Remote,FR,S
72,2021,Entry-level / Junior,Full-time,Research Scientist,82528,GB,Partially Remote,GB,L
73,2021,Executive-level / Director,Full-time,BI Data Analyst,150000,IN,Fully remote,US,L
74,2021,Executive-level / Director,Full-time,Head of Data,235000,US,Fully remote,US,L
75,2021,Senior-level / Expert,Full-time,Data Scientist,53192,FR,Partially Remote,FR,L
76,2021,Mid-level / Intermediate,Full-time,BI Data Analyst,100000,US,Fully remote,US,M
77,2021,Mid-level / Intermediate,Part-time,3D Computer Vision Researcher,5409,IN,Partially Remote,IN,M
78,2021,Mid-level / Intermediate,Contract,ML Engineer,270000,US,Fully remote,US,L
79,2021,Entry-level / Junior,Full-time,Data Analyst,80000,US,Fully remote,US,M
80,2021,Senior-level / Expert,Full-time,Data Analytics Engineer,79197,DE,Fully remote,DE,L
81,2021,Mid-level / Intermediate,Full-time,Data Engineer,140000,US,Fully remote,US,L
82,2021,Mid-level / Intermediate,Full-time,Applied Data Scientist,54238,GB,Partially Remote,CA,L
83,2021,Mid-level / Intermediate,Full-time,Machine Learning Engineer,47282,ES,Fully remote,ES,S
84,2021,Executive-level / Director,Full-time,Director of Data Science,153667,IT,Fully remote,PL,L
85,2021,Mid-level / Intermediate,Full-time,Data Engineer,28476,PL,Fully remote,PL,L
86,2021,Entry-level / Junior,Full-time,Data Analyst,59102,FR,Partially Remote,FR,M
87,2021,Mid-level / Intermediate,Full-time,Data Analytics Engineer,110000,US,Fully remote,US,L
88,2021,Senior-level / Expert,Full-time,Lead Data Analyst,170000,US,Fully remote,US,L
89,2021,Senior-level / Expert,Full-time,Data Analyst,80000,BG,Fully remote,US,S
90,2021,Senior-level / Expert,Full-time,Marketing Data Analyst,88654,GR,Fully remote,DK,L
91,2021,Entry-level / Junior,Full-time,Data Science Consultant,76833,DE,Fully remote,DE,S
92,2021,Mid-level / Intermediate,Full-time,Lead Data Analyst,19609,IN,Fully remote,IN,L
93,2021,Senior-level / Expert,Full-time,Lead Data Engineer,276000,US,No remote,US,L
94,2021,Entry-level / Junior,Full-time,Data Scientist,29751,IN,Partially Remote,IN,L
95,2021,Mid-level / Intermediate,Full-time,Cloud Data Engineer,89294,SG,Partially Remote,SG,L
96,2021,Entry-level / Junior,Part-time,AI Scientist,12000,BR,Fully remote,US,S
97,2021,Mid-level / Intermediate,Full-time,Financial Data Analyst,450000,US,Fully remote,US,L
98,2021,Entry-level / Junior,Full-time,Computer Vision Software Engineer,70000,US,Fully remote,US,M
99,2021,Mid-level / Intermediate,Full-time,Computer Vision Software Engineer,95746,DE,Fully remote,US,S
100,2021,Mid-level / Intermediate,Full-time,Data Analyst,75000,US,No remote,US,L
101,2021,Senior-level / Expert,Full-time,Data Engineer,150000,US,Fully remote,US,L
102,2021,Mid-level / Intermediate,Full-time,BI Data Analyst,36259,HU,Partially Remote,US,L
103,2021,Mid-level / Intermediate,Full-time,Data Analyst,62000,US,No remote,US,L
104,2021,Mid-level / Intermediate,Full-time,Data Scientist,73000,US,No remote,US,L
105,2021,Mid-level / Intermediate,Full-time,Data Analyst,51519,GB,Partially Remote,GB,L
106,2021,Mid-level / Intermediate,Full-time,Research Scientist,187442,CA,Fully remote,CA,L
107,2021,Senior-level / Expert,Full-time,Data Engineer,115000,US,Fully remote,US,S
108,2021,Senior-level / Expert,Full-time,Data Engineer,150000,US,Fully remote,US,M
109,2021,Entry-level / Junior,Full-time,Data Engineer,30428,IN,Fully remote,IN,L
110,2021,Senior-level / Expert,Full-time,Machine Learning Engineer,94564,DE,Partially Remote,DE,L
111,2021,Senior-level / Expert,Full-time,Director of Data Engineering,113476,GB,Fully remote,GB,M
112,2021,Senior-level / Expert,Full-time,Lead Data Engineer,103160,GB,Fully remote,GB,S
113,2021,Entry-level / Junior,Part-time,AI Scientist,12000,PK,Fully remote,US,M
114,2021,Mid-level / Intermediate,Full-time,Data Engineer,45391,NL,Fully remote,NL,L
115,2021,Entry-level / Junior,Full-time,Machine Learning Scientist,225000,US,Fully remote,US,L
116,2021,Mid-level / Intermediate,Full-time,Data Scientist,50000,NG,Fully remote,NG,L
117,2021,Mid-level / Intermediate,Full-time,Data Science Engineer,40189,GR,Fully remote,GR,M
118,2021,Entry-level / Junior,Full-time,Data Analyst,90000,US,Fully remote,US,S
119,2021,Mid-level / Intermediate,Full-time,Data Engineer,200000,US,Fully remote,US,L
120,2021,Mid-level / Intermediate,Full-time,Big Data Engineer,60000,ES,Partially Remote,RO,M
121,2021,Senior-level / Expert,Full-time,Principal Data Engineer,200000,US,Fully remote,US,M
122,2021,Entry-level / Junior,Full-time,Data Analyst,50000,US,Fully remote,US,M
123,2021,Entry-level / Junior,Full-time,Applied Data Scientist,110037,GB,No remote,GB,L
124,2021,Entry-level / Junior,Part-time,Data Analyst,10354,ES,Partially Remote,ES,M
125,2021,Mid-level / Intermediate,Full-time,Principal Data Scientist,151000,US,Fully remote,US,L
126,2021,Senior-level / Expert,Full-time,Machine Learning Scientist,120000,US,Partially Remote,US,S
127,2021,Mid-level / Intermediate,Full-time,Data Scientist,9466,IN,No remote,IN,S
128,2021,Entry-level / Junior,Full-time,Machine Learning Engineer,20000,IN,Fully remote,IN,S
129,2021,Senior-level / Expert,Full-time,Lead Data Scientist,40570,IN,Partially Remote,IN,L
130,2021,Entry-level / Junior,Full-time,Machine Learning Developer,100000,IQ,Partially Remote,IQ,S
131,2021,Entry-level / Junior,Full-time,Data Scientist,49646,FR,Partially Remote,FR,M
132,2021,Mid-level / Intermediate,Full-time,Applied Machine Learning Scientist,38400,VN,Fully remote,US,M
133,2021,Senior-level / Expert,Full-time,Computer Vision Engineer,24000,BR,Fully remote,BR,M
134,2021,Entry-level / Junior,Full-time,Data Scientist,100000,US,No remote,US,S
135,2021,Mid-level / Intermediate,Full-time,Data Analyst,90000,US,Fully remote,US,M
136,2021,Mid-level / Intermediate,Full-time,ML Engineer,63711,JP,Partially Remote,JP,S
137,2021,Mid-level / Intermediate,Full-time,ML Engineer,77364,JP,Partially Remote,JP,S
138,2021,Senior-level / Expert,Full-time,Principal Data Scientist,220000,US,No remote,US,L
139,2021,Entry-level / Junior,Full-time,Data Scientist,80000,US,Fully remote,US,M
140,2021,Mid-level / Intermediate,Full-time,Data Analyst,135000,US,Fully remote,US,L
141,2021,Senior-level / Expert,Full-time,Data Science Manager,240000,US,No remote,US,L
142,2021,Senior-level / Expert,Full-time,Data Engineering Manager,150000,US,No remote,US,L
143,2021,Mid-level / Intermediate,Full-time,Data Scientist,82500,US,Fully remote,US,S
144,2021,Mid-level / Intermediate,Full-time,Data Engineer,100000,US,Fully remote,US,L
145,2021,Senior-level / Expert,Full-time,Machine Learning Engineer,82744,BE,Partially Remote,BE,M
146,2021,Mid-level / Intermediate,Full-time,Research Scientist,62649,FR,Partially Remote,FR,M
147,2021,Mid-level / Intermediate,Full-time,Data Engineer,90000,US,Fully remote,US,L
148,2021,Senior-level / Expert,Full-time,Data Engineering Manager,153000,US,Fully remote,US,L
149,2021,Senior-level / Expert,Full-time,Cloud Data Engineer,160000,BR,Fully remote,US,S
150,2021,Senior-level / Expert,Full-time,Director of Data Science,168000,JP,No remote,JP,S
151,2021,Mid-level / Intermediate,Full-time,Data Scientist,150000,US,Fully remote,US,M
152,2021,Mid-level / Intermediate,Full-time,Data Scientist,75774,CA,Fully remote,CA,L
153,2021,Entry-level / Junior,Full-time,Data Scientist,13400,UA,Fully remote,UA,L
154,2021,Senior-level / Expert,Full-time,Data Science Manager,144000,US,Fully remote,US,L
155,2021,Senior-level / Expert,Full-time,Data Science Engineer,127221,CA,Partially Remote,CA,L
156,2021,Mid-level / Intermediate,Full-time,Data Scientist,119059,SG,Fully remote,IL,M
157,2021,Mid-level / Intermediate,Full-time,Applied Machine Learning Scientist,423000,US,Partially Remote,US,L
158,2021,Senior-level / Expert,Full-time,Data Analytics Manager,120000,US,Fully remote,US,M
159,2021,Entry-level / Junior,Full-time,Machine Learning Engineer,125000,US,Fully remote,US,S
160,2021,Executive-level / Director,Full-time,Head of Data,230000,RU,Partially Remote,RU,L
161,2021,Executive-level / Director,Full-time,Head of Data Science,85000,RU,No remote,RU,M
162,2021,Mid-level / Intermediate,Full-time,Data Engineer,28369,MT,Partially Remote,MT,L
163,2021,Entry-level / Junior,Full-time,Data Science Consultant,63831,DE,Partially Remote,DE,L
164,2021,Executive-level / Director,Full-time,Director of Data Science,130026,DE,Partially Remote,DE,M
165,2021,Senior-level / Expert,Full-time,Data Specialist,165000,US,Fully remote,US,L
166,2021,Entry-level / Junior,Full-time,Data Engineer,80000,US,Fully remote,US,L
167,2021,Executive-level / Director,Full-time,Director of Data Science,250000,US,No remote,US,L
168,2021,Entry-level / Junior,Full-time,BI Data Analyst,55000,US,Partially Remote,US,S
169,2021,Mid-level / Intermediate,Full-time,Data Architect,150000,US,Fully remote,US,L
170,2021,Mid-level / Intermediate,Full-time,Data Architect,170000,US,Fully remote,US,L
171,2021,Mid-level / Intermediate,Full-time,Data Engineer,82528,GB,Fully remote,GB,L
172,2021,Entry-level / Junior,Full-time,Data Analyst,60000,US,Fully remote,US,S
173,2021,Senior-level / Expert,Full-time,Principal Data Scientist,235000,US,Fully remote,US,L
174,2021,Senior-level / Expert,Full-time,Research Scientist,60757,PT,Partially Remote,PT,L
175,2021,Senior-level / Expert,Full-time,Data Engineering Manager,174000,US,Fully remote,US,L
176,2021,Mid-level / Intermediate,Full-time,Data Scientist,2859,MX,No remote,MX,S
177,2021,Mid-level / Intermediate,Full-time,Data Scientist,40038,CL,Fully remote,CL,L
178,2021,Entry-level / Junior,Full-time,Machine Learning Engineer,81000,US,Partially Remote,US,S
179,2021,Mid-level / Intermediate,Full-time,Data Scientist,5679,IN,Fully remote,US,S
180,2021,Mid-level / Intermediate,Full-time,Big Data Engineer,22611,IN,No remote,IN,L
181,2021,Mid-level / Intermediate,Full-time,Data Scientist,90734,DE,Partially Remote,DE,L
182,2021,Mid-level / Intermediate,Full-time,Data Engineer,26005,RO,No remote,US,L
183,2021,Senior-level / Expert,Full-time,Finance Data Analyst,61896,GB,Partially Remote,GB,L
184,2021,Mid-level / Intermediate,Freelance,Machine Learning Scientist,12000,PK,Partially Remote,PK,M
185,2021,Mid-level / Intermediate,Full-time,Data Engineer,4000,IR,Fully remote,IR,M
186,2021,Senior-level / Expert,Full-time,Data Analytics Engineer,50000,VN,Fully remote,GB,M
187,2021,Executive-level / Director,Full-time,Data Science Consultant,69741,FR,Fully remote,ES,S
188,2021,Senior-level / Expert,Full-time,Data Engineer,76833,RO,Partially Remote,GB,S
189,2021,Mid-level / Intermediate,Full-time,Machine Learning Engineer,74000,JP,Partially Remote,JP,S
190,2021,Senior-level / Expert,Full-time,Data Science Manager,152000,US,Fully remote,FR,L
191,2021,Entry-level / Junior,Full-time,Machine Learning Engineer,21844,CO,Partially Remote,CO,M
192,2021,Mid-level / Intermediate,Full-time,Big Data Engineer,18000,MD,No remote,MD,S
193,2021,Senior-level / Expert,Full-time,Data Science Manager,174000,US,Fully remote,US,L
194,2021,Senior-level / Expert,Full-time,Research Scientist,96113,CA,Partially Remote,CA,L
195,2021,Mid-level / Intermediate,Full-time,Data Scientist,147000,US,Partially Remote,US,L
196,2021,Entry-level / Junior,Full-time,BI Data Analyst,9272,KE,Fully remote,KE,S
197,2021,Senior-level / Expert,Full-time,Machine Learning Engineer,24342,IN,Fully remote,IN,L
198,2021,Senior-level / Expert,Full-time,Data Science Manager,54094,IN,Partially Remote,US,L
199,2021,Entry-level / Junior,Full-time,Data Science Consultant,90000,US,Fully remote,US,S
200,2021,Mid-level / Intermediate,Full-time,Data Scientist,61467,DE,Partially Remote,AT,M
201,2021,Senior-level / Expert,Full-time,Machine Learning Infrastructure Engineer,195000,US,Fully remote,US,M
202,2021,Mid-level / Intermediate,Full-time,Data Scientist,37825,ES,Fully remote,ES,L
203,2021,Senior-level / Expert,Full-time,Research Scientist,50000,FR,Fully remote,US,S
204,2021,Mid-level / Intermediate,Full-time,Data Scientist,160000,US,Fully remote,US,L
205,2021,Mid-level / Intermediate,Full-time,Data Scientist,12901,BR,No remote,BR,S
206,2021,Senior-level / Expert,Full-time,Machine Learning Engineer,200000,US,Fully remote,US,L
207,2021,Senior-level / Expert,Full-time,Data Engineer,165000,US,No remote,US,M
208,2021,Mid-level / Intermediate,Freelance,Data Engineer,20000,IT,No remote,US,L
209,2021,Senior-level / Expert,Full-time,Data Analytics Manager,120000,US,No remote,US,L
210,2021,Mid-level / Intermediate,Full-time,Machine Learning Engineer,24823,SI,Partially Remote,SI,L
211,2021,Mid-level / Intermediate,Full-time,Research Scientist,56738,FR,Partially Remote,FR,S
212,2021,Mid-level / Intermediate,Full-time,Data Engineer,66022,HK,Partially Remote,GB,S
213,2021,Entry-level / Junior,Full-time,Big Data Engineer,5882,IN,No remote,CH,L
214,2021,Entry-level / Junior,Full-time,Machine Learning Engineer,24823,DE,Partially Remote,DE,M
215,2021,Senior-level / Expert,Full-time,Principal Data Engineer,185000,US,Fully remote,US,L
216,2021,Entry-level / Junior,Part-time,Computer Vision Engineer,28609,DK,Partially Remote,DK,S
217,2021,Mid-level / Intermediate,Full-time,Data Scientist,90734,DE,Partially Remote,DE,L
218,2021,Mid-level / Intermediate,Full-time,Machine Learning Engineer,88654,BE,Fully remote,BE,M
219,2021,Senior-level / Expert,Full-time,Data Analytics Manager,140000,US,Fully remote,US,L
220,2021,Mid-level / Intermediate,Full-time,Machine Learning Engineer,46597,PL,Fully remote,PL,L
221,2021,Mid-level / Intermediate,Full-time,Data Scientist,116914,GB,Partially Remote,GB,L
222,2021,Mid-level / Intermediate,Full-time,Data Scientist,33808,IN,No remote,IN,M
223,2021,Mid-level / Intermediate,Full-time,Data Scientist,56256,GB,Partially Remote,GB,L
224,2021,Senior-level / Expert,Full-time,Machine Learning Scientist,225000,US,Fully remote,CA,L
225,2021,Executive-level / Director,Contract,Principal Data Scientist,416000,US,Fully remote,US,S
226,2021,Senior-level / Expert,Full-time,Data Scientist,87738,CA,Fully remote,CA,S
227,2021,Mid-level / Intermediate,Full-time,Data Scientist,88654,DE,Partially Remote,DE,L
228,2021,Senior-level / Expert,Full-time,Data Scientist,135000,US,No remote,US,L
229,2021,Senior-level / Expert,Full-time,Data Analyst,71786,CA,Fully remote,CA,M
230,2021,Entry-level / Junior,Full-time,Big Data Engineer,16228,IN,Fully remote,IN,L
231,2021,Senior-level / Expert,Full-time,ML Engineer,256000,US,Fully remote,US,S
232,2021,Senior-level / Expert,Full-time,Director of Data Engineering,200000,US,Fully remote,US,L
233,2021,Senior-level / Expert,Full-time,Data Analyst,200000,US,Fully remote,US,L
234,2021,Mid-level / Intermediate,Full-time,Data Architect,180000,US,Fully remote,US,L
235,2021,Mid-level / Intermediate,Full-time,Head of Data Science,110000,US,No remote,US,S
236,2021,Mid-level / Intermediate,Full-time,Research Scientist,63810,CA,Fully remote,CA,M
237,2021,Mid-level / Intermediate,Full-time,Data Scientist,46809,ES,Fully remote,ES,M
238,2021,Entry-level / Junior,Full-time,Data Scientist,4000,VN,No remote,VN,M
239,2021,Entry-level / Junior,Full-time,Data Engineer,21637,IN,Partially Remote,IN,M
240,2021,Senior-level / Expert,Full-time,Data Scientist,103691,CA,Fully remote,CA,L
241,2021,Mid-level / Intermediate,Full-time,Data Analyst,80000,US,Fully remote,US,L
242,2021,Mid-level / Intermediate,Full-time,Data Engineer,110000,US,Fully remote,US,L
243,2021,Senior-level / Expert,Full-time,Data Scientist,165000,US,Fully remote,US,L
244,2021,Entry-level / Junior,Full-time,AI Scientist,18053,IN,Fully remote,AS,S
245,2021,Mid-level / Intermediate,Full-time,Data Engineer,72212,GB,Partially Remote,GB,L
246,2021,Entry-level / Junior,Full-time,Data Scientist,36643,FR,Partially Remote,FR,L
247,2021,Mid-level / Intermediate,Full-time,Data Engineer,12103,TR,No remote,TR,M
248,2021,Senior-level / Expert,Full-time,Data Engineer,96282,GB,Partially Remote,GB,L
249,2021,Senior-level / Expert,Full-time,Principal Data Analyst,170000,US,Fully remote,US,M
250,2021,Mid-level / Intermediate,Full-time,Data Scientist,115000,US,Partially Remote,US,L
251,2021,Entry-level / Junior,Full-time,Data Scientist,90000,US,Fully remote,US,S
252,2021,Executive-level / Director,Full-time,Principal Data Engineer,600000,US,Fully remote,US,L
253,2021,Entry-level / Junior,Full-time,Data Scientist,28399,IN,Fully remote,IN,M
254,2021,Mid-level / Intermediate,Full-time,Data Analyst,93000,US,Fully remote,US,L
255,2021,Senior-level / Expert,Full-time,Big Data Architect,99703,CA,Partially Remote,CA,M
256,2021,Mid-level / Intermediate,Full-time,Data Engineer,200000,US,Fully remote,US,L
257,2021,Senior-level / Expert,Full-time,Principal Data Scientist,173762,DE,Fully remote,DE,M
258,2021,Senior-level / Expert,Full-time,Machine Learning Engineer,185000,US,Partially Remote,US,L
259,2021,Executive-level / Director,Full-time,Director of Data Science,141846,DE,No remote,DE,L
260,2021,Mid-level / Intermediate,Full-time,Data Scientist,130000,US,Partially Remote,US,L
261,2021,Senior-level / Expert,Full-time,Data Analyst,63831,DE,Partially Remote,DE,L
262,2021,Mid-level / Intermediate,Full-time,Data Scientist,16904,IN,Fully remote,IN,S
263,2021,Senior-level / Expert,Full-time,Machine Learning Engineer,66265,IN,No remote,IN,L
264,2021,Mid-level / Intermediate,Full-time,Data Scientist,25532,RS,Fully remote,DE,S
265,2021,Senior-level / Expert,Full-time,Lead Data Engineer,160000,PR,Partially Remote,US,S
266,2021,Mid-level / Intermediate,Full-time,Data Engineer,93150,US,No remote,US,M
267,2021,Mid-level / Intermediate,Full-time,Data Engineer,111775,US,No remote,US,M
268,2021,Mid-level / Intermediate,Full-time,Data Engineer,28016,TR,Fully remote,TR,M
269,2021,Entry-level / Junior,Full-time,Data Engineer,65013,DE,Partially Remote,DE,M
270,2021,Entry-level / Junior,Full-time,Data Engineer,72500,US,Fully remote,US,L
271,2021,Senior-level / Expert,Full-time,Computer Vision Engineer,18907,BR,No remote,BR,M
272,2021,Entry-level / Junior,Full-time,Data Science Consultant,76833,DE,No remote,DE,L
273,2021,Entry-level / Junior,Full-time,Machine Learning Engineer,85000,NL,Fully remote,DE,S
274,2021,Senior-level / Expert,Full-time,Data Scientist,77684,FR,Partially Remote,FR,M
275,2021,Entry-level / Junior,Full-time,Data Scientist,100000,US,Fully remote,US,M
276,2021,Entry-level / Junior,Full-time,Data Scientist,58000,US,Partially Remote,US,L
277,2021,Senior-level / Expert,Full-time,AI Scientist,55000,ES,Fully remote,ES,L
278,2021,Senior-level / Expert,Full-time,Data Scientist,20171,TR,Partially Remote,TR,L
279,2021,Entry-level / Junior,Full-time,Business Data Analyst,59102,LU,Fully remote,LU,L
280,2021,Mid-level / Intermediate,Full-time,Data Engineer,112000,US,Fully remote,US,L
281,2021,Entry-level / Junior,Full-time,Research Scientist,100000,JE,No remote,CN,L
282,2021,Mid-level / Intermediate,Part-time,Data Engineer,69741,NL,Fully remote,NL,L
283,2021,Senior-level / Expert,Contract,Staff Data Scientist,105000,US,Fully remote,US,M
284,2021,Mid-level / Intermediate,Full-time,Research Scientist,69999,CZ,Partially Remote,CZ,L
285,2021,Senior-level / Expert,Full-time,Data Science Manager,94665,IN,Partially Remote,IN,L
286,2021,Senior-level / Expert,Full-time,Head of Data,102839,SI,Fully remote,SI,L
287,2021,Mid-level / Intermediate,Full-time,Data Scientist,109000,US,Partially Remote,US,L
288,2021,Mid-level / Intermediate,Full-time,Machine Learning Engineer,51064,IT,Partially Remote,IT,L
289,2022,Senior-level / Expert,Full-time,Data Engineer,135000,US,Fully remote,US,M
290,2022,Senior-level / Expert,Full-time,Data Analyst,155000,US,Fully remote,US,M
291,2022,Senior-level / Expert,Full-time,Data Analyst,120600,US,Fully remote,US,M
292,2022,Mid-level / Intermediate,Full-time,Data Scientist,130000,US,No remote,US,M
293,2022,Mid-level / Intermediate,Full-time,Data Scientist,90000,US,No remote,US,M
294,2022,Mid-level / Intermediate,Full-time,Data Engineer,170000,US,Fully remote,US,M
295,2022,Mid-level / Intermediate,Full-time,Data Engineer,150000,US,Fully remote,US,M
296,2022,Senior-level / Expert,Full-time,Data Analyst,102100,US,Fully remote,US,M
297,2022,Senior-level / Expert,Full-time,Data Analyst,84900,US,Fully remote,US,M
298,2022,Senior-level / Expert,Full-time,Data Scientist,136620,US,Fully remote,US,M
299,2022,Senior-level / Expert,Full-time,Data Scientist,99360,US,Fully remote,US,M
300,2022,Senior-level / Expert,Full-time,Data Scientist,117789,GB,No remote,GB,M
301,2022,Senior-level / Expert,Full-time,Data Scientist,104702,GB,No remote,GB,M
302,2022,Senior-level / Expert,Full-time,Data Scientist,146000,US,Fully remote,US,M
303,2022,Senior-level / Expert,Full-time,Data Scientist,123000,US,Fully remote,US,M
304,2022,Entry-level / Junior,Full-time,Data Engineer,52351,GB,Fully remote,GB,M
305,2022,Senior-level / Expert,Full-time,Data Analyst,99000,US,No remote,US,M
306,2022,Senior-level / Expert,Full-time,Data Analyst,116000,US,No remote,US,M
307,2022,Mid-level / Intermediate,Full-time,Data Analyst,106260,US,No remote,US,M
